Student Name,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
K,1.0,1.0,1.0,2.0,2.0,2.0,10.0,30.0,30.0,30.0,,,5.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,,,5.0,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
L,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,
M,2.0,2.0,1.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
N,1.0,1.0,1.0,2.0,2.0,2.0,24.0,26.0,21.0,29.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
O,1.0,1.0,1.0,2.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,
P,2.0,2.0,2.0,2.0,3.0,1.0,22.5,25.0,22.5,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,
Q,1.0,1.0,1.0,1.0,1.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,
R,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
S,1.0,1.0,1.0,1.0,2.0,1.0,35.0,35.0,30.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
T,3.0,4.0,3.0,4.0,7.0,2.0,35.0,20.0,10.0,35.0,,,1.0,3.0,6.0,1.0,,,2.0,4.0,4.0,2.0,,,1.0,3.0,7.0,1.0,,,3.0,3.0,4.0,2.0,,
U,2.0,2.0,2.0,2.0,7.0,2.0,29.0,28.0,3.0,40.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,3.0,1.0,,
V,1.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,
W,2.0,3.0,3.0,1.0,6.0,1.0,35.0,20.0,5.0,40.0,,,1.0,3.0,7.0,1.0,,,1.0,4.0,7.0,1.0,,,1.0,2.0,7.0,1.0,,,1.0,1.0,1.0,1.0,,
X,2.0,2.0,2.0,2.0,2.0,2.0,95.0,100.0,90.0,95.0,75.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Y,2.0,2.0,7.0,7.0,7.0,1.0,10.0,40.0,5.0,15.0,10.0,20.0,7.0,2.0,7.0,3.0,7.0,4.0,6.0,2.0,7.0,3.0,5.0,3.0,7.0,2.0,7.0,4.0,5.0,3.0,7.0,3.0,7.0,7.0,7.0,7.0
Z,1.0,1.0,1.0,1.0,1.0,1.0,17.0,18.0,17.0,17.0,14.0,17.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
